Name	Set	ImageFile	Type	Sub-Type	Rarity
Lieutenant Jackson	Starfleet Maneuvers	Lieutenant_Jackson_Crew	Crew		C
Lieutenant Jose' Tyler	Starfleet Maneuvers	Lieutenant_Jose_Tyler_Crew	Crew		U
Lieutenant Kaplan	Starfleet Maneuvers	Lieutenant_Kaplan_Crew	Crew		R
Lieutenant Karen Tracy	Starfleet Maneuvers	Lieutenant_Karen_Tracy_Crew	Crew		U
Lieutenant Marlena Moreau	Starfleet Maneuvers	Lieutenant_Marlena_Moreau_Crew	Crew		R
Lieutenant Palmer	Starfleet Maneuvers	Lieutenant_Palmer_Crew	Crew		S
Lieutenant Ron Perazza	Starfleet Maneuvers	Lieutenant_Ron_Perazza_Crew	Crew		V
Lieutenant Rowe	Starfleet Maneuvers	Lieutenant_Rowe_Crew	Crew		U
Lieutenant Singh	Starfleet Maneuvers	Lieutenant_Singh_Crew	Crew		C
Lieutenant Steve Domzalski	Starfleet Maneuvers	Lieutenant_Steve_Domzalski_Crew	Crew		V
Lieutenant Tonia Barrows	Starfleet Maneuvers	Lieutenant_Tonia_Barrows_Crew	Crew		V
Lieutenant Washburn	Starfleet Maneuvers	Lieutenant_Washburn_Crew	Crew		R
Number One	Starfleet Maneuvers	Number_One_Crew	Crew		C
Nurse Cheryl Thomas	Starfleet Maneuvers	Nurse_Cheryl_Thomas_Crew	Crew		V
Yeoman Colt	Starfleet Maneuvers	Yeoman_Colt_Crew	Crew		C
Amok Time [D]	Starfleet Maneuvers	Amok_Time_Discovery	Episode Discovery		U
Catspaw [D]	Starfleet Maneuvers	Catspaw_Discovery	Episode Discovery		V
Friday's Child [D]	Starfleet Maneuvers	Fridays_Child_Discovery	Episode Discovery		V
I, Mudd [D]	Starfleet Maneuvers	I_Mudd_Discovery	Episode Discovery		V
Metamorphosis [D]	Starfleet Maneuvers	Metamorphosis_Discovery	Episode Discovery		V
Mirror, Mirror [D]	Starfleet Maneuvers	Mirror_Mirror_Discovery	Episode Discovery		U
The Apple [D]	Starfleet Maneuvers	The_Apple_Discovery	Episode Discovery		V
The Changeling [D]	Starfleet Maneuvers	The_Changeling_Discovery	Episode Discovery		R
The Deadly Years [D]	Starfleet Maneuvers	The_Deadly_Years_Discovery	Episode Discovery		R
The Doomsday Machine [D]	Starfleet Maneuvers	The_Doomsday_Machine_Discovery	Episode Discovery		V
The Trouble With Tribbles [D]	Starfleet Maneuvers	The_Trouble_With_Tribbles_Discovery	Episode Discovery		C
Who Mourns For Adonais? [D]	Starfleet Maneuvers	Who_Mourns_For_Adonais_Discovery	Episode Discovery		S
Wolf In The Fold [D]	Starfleet Maneuvers	Wolf_In_The_Fold_Discovery	Episode Discovery		C
Adrenaline	Starfleet Maneuvers	Adrenaline_Effect	Effect		R
Agonizer	Starfleet Maneuvers	Agonizer_Effect	Effect		R
Ahn-Woon	Starfleet Maneuvers	Ahn-Woon_Effect	Effect		C
Highly Illogical Behavior	Starfleet Maneuvers	Highly_Illogical_Behavior_Effect	Effect		R
Kligat	Starfleet Maneuvers	Kligat_Effect	Effect		C
Lirpa	Starfleet Maneuvers	Lirpa_Effect	Effect		C
Native Club	Starfleet Maneuvers	Native_Club_Effect	Effect		S
Plate of Gems	Starfleet Maneuvers	Plate_of_Gems_Effect	Effect		C
Plomeek Soup	Starfleet Maneuvers	Plomeek_Soup_Effect	Effect		S
Quadrotriticale	Starfleet Maneuvers	Quadrotriticale_Effect	Effect		S
Redjak's Knife	Starfleet Maneuvers	Redjaks_Knife_Effect	Effect		C
Sonic Pulse	Starfleet Maneuvers	Sonic_Pulse_Effect	Effect		C
Taunt	Starfleet Maneuvers	Taunt_Effect	Effect		S
Universal Translator	Starfleet Maneuvers	Universal_Translator_Effect	Effect		R
Verifier	Starfleet Maneuvers	Verifier_Effect	Effect		R
Amok Time [M]	Starfleet Maneuvers	Amok_Time_Mission	Episode Mission		U
Catspaw [M]	Starfleet Maneuvers	Catspaw_Mission	Episode Mission		V
Friday's Child [M]	Starfleet Maneuvers	Fridays_Child_Mission	Episode Mission		U
I, Mudd [M]	Starfleet Maneuvers	I_Mudd_Mission	Episode Mission		V
Metamorphosis [M]	Starfleet Maneuvers	Metamorphosis_Mission	Episode Mission		U
Mirror, Mirror [M]	Starfleet Maneuvers	Mirror_Mirror_Mission	Episode Mission		C
The Apple [M]	Starfleet Maneuvers	The_Apple_Mission	Episode Mission		U
The Changeling [M]	Starfleet Maneuvers	The_Changeling_Mission	Episode Mission		U
The Deadly Years [M]	Starfleet Maneuvers	The_Deadly_Years_Mission	Episode Mission		C
The Doomsday Machine [M]	Starfleet Maneuvers	The_Doomsday_Machine_Mission	Episode Mission		V
The Trouble With Tribbles [M]	Starfleet Maneuvers	The_Trouble_With_Tribbles_Mission	Episode Mission		U
Who Mourns For Adonais? [M]	Starfleet Maneuvers	Who_Mourns_For_Adonais_Mission	Episode Mission		V
Wolf In The Fold [M]	Starfleet Maneuvers	Wolf_In_The_Fold_Mission	Episode Mission		R
Agony Booth	Starfleet Maneuvers	Agony_Booth_Permanent_Wild	Permanent Wild		C
Apollo's Shrine	Starfleet Maneuvers	Apollos_Shrine_Permanent_Wild	Permanent Wild		U
Asteroid Yonada	Starfleet Maneuvers	Asteroid_Yonada_Permanent_Wild	Permanent Wild		C
Aurora	Starfleet Maneuvers	Aurora_Permanent_Wild	Permanent Wild		R
Botany Bay	Starfleet Maneuvers	Botany_Bay_Permanent_Wild	Permanent Wild		U
Captain's Chair	Starfleet Maneuvers	Captains_Chair_Permanent_Wild	Permanent Wild		U
Central Control	Starfleet Maneuvers	Central_Control_Permanent_Wild	Permanent Wild		R
DEEP SPACE STATION K-7	Starfleet Maneuvers	DEEP_SPACE_STATION_K-7_Permanent_Wild	Permanent Wild		U
Engineering Room	Starfleet Maneuvers	Engineering_Room_Permanent_Wild	Permanent Wild		U
I.S.S. ENTERPRISE	Starfleet Maneuvers	ISS_ENTERPRISE_Permanent_Wild	Permanent Wild		R
Klingon Battle Cruiser	Starfleet Maneuvers	Klingon_Battle_Cruiser_Permanent_Wild	Permanent Wild		V
Magnetic Storm	Starfleet Maneuvers	Magnetic_Storm_Permanent_Wild	Permanent Wild		U
Orion Smugglers	Starfleet Maneuvers	Orion_Smugglers_Permanent_Wild	Permanent Wild		V
Planet Killer	Starfleet Maneuvers	Planet_Killer_Permanent_Wild	Permanent Wild		R
Romulan Neutral Zone	Starfleet Maneuvers	Romulan_Neutral_Zone_Permanent_Wild	Permanent Wild		V
Science Station	Starfleet Maneuvers	Science_Station_Permanent_Wild	Permanent Wild		U
SHUTTLECRAFT COLUMBUS	Starfleet Maneuvers	SHUTTLECRAFT_COLUMBUS_Permanent_Wild	Permanent Wild		S
Sick Bay	Starfleet Maneuvers	Sick_Bay_Permanent_Wild	Permanent Wild		U
Star Charts	Starfleet Maneuvers	Star_Charts_Permanent_Wild	Permanent Wild		U
Tantalus Field	Starfleet Maneuvers	Tantalus_Field_Permanent_Wild	Permanent Wild		R
Tholian Web	Starfleet Maneuvers	Tholian_Web_Permanent_Wild	Permanent Wild		U
Top Security Brig	Starfleet Maneuvers	Top_Security_Brig_Permanent_Wild	Permanent Wild		V
U.S.S. CONSTELLATION	Starfleet Maneuvers	USS_CONSTELLATION_Permanent_Wild	Permanent Wild		C
U.S.S. LEXINGTON	Starfleet Maneuvers	USS_LEXINGTON_Permanent_Wild	Permanent Wild		C
Warning Beacon	Starfleet Maneuvers	Warning_Beacon_Permanent_Wild	Permanent Wild		C
Amok Time [P]	Starfleet Maneuvers	Amok_Time_Plot	Episode Plot		R
Catspaw [P]	Starfleet Maneuvers	Catspaw_Plot	Episode Plot		U
Friday's Child [P]	Starfleet Maneuvers	Fridays_Child_Plot	Episode Plot		V
I, Mudd [P]	Starfleet Maneuvers	I_Mudd_Plot	Episode Plot		U
Metamorphosis [P]	Starfleet Maneuvers	Metamorphosis_Plot	Episode Plot		R
Mirror, Mirror [P]	Starfleet Maneuvers	Mirror_Mirror_Plot	Episode Plot		V
The Apple [P]	Starfleet Maneuvers	The_Apple_Plot	Episode Plot		C
The Changeling [P]	Starfleet Maneuvers	The_Changeling_Plot	Episode Plot		V
The Deadly Years [P]	Starfleet Maneuvers	The_Deadly_Years_Plot	Episode Plot		V
The Doomsday Machine [P]	Starfleet Maneuvers	The_Doomsday_Machine_Plot	Episode Plot		U
The Trouble With Tribbles [P]	Starfleet Maneuvers	The_Trouble_With_Tribbles_Plot	Episode Plot		V
Who Mourns For Adonais? [P]	Starfleet Maneuvers	Who_Mourns_For_Adonais_Plot	Episode Plot		U
Wolf In The Fold [P]	Starfleet Maneuvers	Wolf_In_The_Fold_Plot	Episode Plot		U
Advanced Aging	Starfleet Maneuvers	Advanced_Aging_Wild	Wild		V
Android Overload	Starfleet Maneuvers	Android_Overload_Wild	Wild		U
Antigrav Units	Starfleet Maneuvers	Antigrav_Units_Wild	Wild		R
Argelian Empathic Contact	Starfleet Maneuvers	Argelian_Empathic_Contact_Wild	Wild		R
Bows and Arrows	Starfleet Maneuvers	Bows_and_Arrows_Wild	Wild		R
Cavalry Arrives	Starfleet Maneuvers	Cavalry_Arrives_Wild	Wild		R
Clean Slate	Starfleet Maneuvers	Clean_Slate_Wild	Wild		V
Code 2	Starfleet Maneuvers	Code_2_Wild	Wild		U
Competency Hearing	Starfleet Maneuvers	Competency_Hearing_Wild	Wild		R
Cultural Taboo	Starfleet Maneuvers	Cultural_Taboo_Wild	Wild		R
Friendly Welcome	Starfleet Maneuvers	Friendly_Welcome_Wild	Wild		R
Kal-if-fee	Starfleet Maneuvers	Kal-if-fee_Wild	Wild		R
Magnesite-Nitron Tablet	Starfleet Maneuvers	Magnesite-Nitron_Tablet_Wild	Wild		R
Manual Override	Starfleet Maneuvers	Manual_Override_Wild	Wild		R
Masiform D	Starfleet Maneuvers	Masiform_D_Wild	Wild		U
Neural Paralyzer	Starfleet Maneuvers	Neural_Paralyzer_Wild	Wild		R
Plak-tow	Starfleet Maneuvers	Plak-tow_Wild	Wild		R
Pon farr	Starfleet Maneuvers	Pon_farr_Wild	Wild		R
Reeducation	Starfleet Maneuvers	Reeducation_Wild	Wild		V
Suicide Mission	Starfleet Maneuvers	Suicide_Mission_Wild	Wild		R
Sympathetic Magic	Starfleet Maneuvers	Sympathetic_Magic_Wild	Wild		U
Transmuter	Starfleet Maneuvers	Transmuter_Wild	Wild		U
Transporter Swap	Starfleet Maneuvers	Transporter_Swap_Wild	Wild		R
Arena	Promo	Arena_Wild	Wild		P
Cryogenic Chambers	Promo	Cryogenic_Chambers_Permanent_Wild	Permanent Wild		P
Emergency Distress Call	Promo	Emergency_Distress_Call_Wild	Wild		P
Ensign Pavel A. Chekov*	Promo	Ensign_Pavel_A_Chekov_Crew_Promo	Crew		P
He's Dead Jim	Promo	Hes_Dead_Jim_Wild	Wild		P
Living In The Past	Promo	Living_In_The_Past_Wild	Wild		P
Organians	Promo	Organians_Challenge	Challenge	Enigma	P
Phaser Mishap	Promo	Phaser_Mishap_Wild	Wild		P
Shirtless Kirk	Promo	Shirtless_Kirk_Wild	Wild		P
Turbolift Doors	Promo	Turbolift_Doors_Wild	Wild		P
